ncbi_taxon_id	species_name	order	family	long_list	other_priority	family_representative	sequencing_status	sample_collected	sample_acquired	in_progress	insdc_open	published	publication_id	synonym
1666622	Mellilla xanthometata	Lepidoptera	Geometridae	ILEBP	ILEBP		in_progress	ILEBP	ILEBP	ILEBP				
536894	Stenolophus ochropezus	Coleoptera	Carabidae	ILEBP	ILEBP		in_progress	ILEBP	ILEBP	ILEBP				
2952983	Coelinius sp.	Hymenoptera	Braconidae	ILEBP	ILEBP		in_progress	ILEBP	ILEBP	ILEBP				
1479690	Thaumatomyia glabra	Diptera	Chloropidae	ILEBP	ILEBP		in_progress	ILEBP	ILEBP	ILEBP				
2028601	Brachynemurus abdominalus	Neuroptera	Myrmeleontidae	ILEBP	ILEBP		in_progress	ILEBP	ILEBP	ILEBP				
1187021	Catonia carolina	Hemiptera	Achilidae	ILEBP	ILEBP		in_progress	ILEBP	ILEBP	ILEBP				
178304	Oncometopia orbona	Hemiptera	Cicadellidae	ILEBP	ILEBP		in_progress	ILEBP	ILEBP	ILEBP				
57336	Flexamia atlantica	Hemiptera	Cicadellidae	ILEBP	ILEBP		in_progress	ILEBP	ILEBP	ILEBP				
1585304	Stictocephala bisonia	Hemiptera	Membracidae	ILEBP	ILEBP		in_progress	ILEBP	ILEBP	ILEBP				
