ncbi_taxon_id	taxon	genus	species	target_list	sequencing_status
	Pellia endiviifolia	Pellia	endiviifolia	OGG	
	Diphasiastrum complanatum	Diphasiastrum	complanatum	OGG	
	Dipteris conjugata	Dipteris	conjugata	OGG	
	Ceratopteris richardii	Ceratopteris	richardii	OGG	
	Cycas rumphii	Cycas	rumphii	OGG	
	Zamia furfuracea	Zamia	furfuracea	OGG	
	Welwitschia mirabilis	Welwitschia	mirabilis	OGG	
	Taxus floridana	Taxus	floridana	OGG	
	Amborella trichopoda	Amborella	trichopoda	OGG	
	Illicium parviflorum	Illicium	parviflorum	OGG	
	Acorus americanus	Acorus	americanus	OGG	
	Japonolirion osense	Japonolirion	osense	OGG	
	Talbotia elegans	Talbotia	elegans	OGG	
	Typha latifolia	Typha	latifolia	OGG	
	Brocchinia micrantha	Brocchinia	micrantha	OGG	
	Flagellaria indica	Flagellaria	indica	OGG	
	Joinvillea ascendens	Joinvillea	ascendens	OGG	
	Pharus latifolius	Pharus	latifolius	OGG	
	Brachypodium	Brachypodium	distachyon	OGG	open
	Sarcandra glabra	Sarcandra	glabra	OGG	
	Canella winterana	Canella	winterana	OGG	
	Asimina triloba	Asimina	triloba	OGG	
	Liriodendron tulipifera	Liriodendron	tulipifera	OGG	
	Eschscholzia californica	Eschscholzia	californica	OGG	
	Myrothamnus flabellifolia	Myrothamnus	flabellifolia	OGG	
	Dillenia indica	Dillenia	indica	OGG	
	Saponaria officinalis	Saponaria	officinalis	OGG	
	Osyris compressa	Osyris	compressa	OGG	
	Chamaecrista fasciculata	Chamaecrista	fasciculata	OGG	
	Cercis canadensis	Cercis	canadensis	OGG	
	Gossypium	Gossypium	hirsutum	OGG	in_progress
	Ehretia anacua	Ehretia	anacua	OGG	
	Lindenbergia philippensis	Lindenbergia	philippensis	OGG	
	Setaria viridis	Setaria	viridis	OGG	in_progress
	Sorghum bicolor	Sorghum	bicolor	OGG	in_progress
