species	family	phylum	kingdom	source	ncbi_taxon_id	target_list_status	sequencing_status	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
Cladocora caespitosa	Cladoceridae	Arthropoda	Metazoa	SloveniaHSp	130055	other_priority	sample_acquired	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Austropotamobius torrentium	Astacidae	Arthropoda	Metazoa	SloveniaHSp	94942	other_priority	sample_acquired	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Astagobius angustatus	Leiodidae	Arthropoda	Metazoa	SloveniaHSp	1457099	other_priority	sample_acquired	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Rupicapra rupicapra	Bovidae	Chordata	Metazoa	SloveniaHSp	130898	other_priority	sample_acquired	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Apodemus agrarius	Muridae	Chordata	Metazoa	SloveniaHSp	39030	other_priority	sample_acquired	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Primula carniolica	Primulaceae	Streptophyta	Viridiplantae	SloveniaHSp	184180	other_priority	sample_acquired	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Sempervivum juvanii (in GoAT: Sempervivum wulfenii subsp. Juvanii)	Crassulaceae	Streptophyta	Viridiplantae	SloveniaHSp	1538746	other_priority	sample_acquired	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Graciliella metohijensis	Leiodidae	Arthropoda	Metazoa	SloveniaHSp	1849259	other_priority	sample_acquired	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Anthroherpon ganglbaueri	Leiodidae	Arthropoda	Metazoa	SloveniaHSp	1849190	other_priority	sample_acquired	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Martes foina	Mustelidae	Chordata	Metazoa	SloveniaHSp	9659	other_priority	sample_collected	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Umbra krameri 	Actinopterygii	Chordata	Metazoa	SloveniaHSp	75933	other_priority	sample_collected	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Alectoris graeca	Phasianidae	Chordata	Metazoa	SloveniaHSp	40178	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Cephenemyia stimulator	Oestridae	Arthropoda	Metazoa	SloveniaHSp	170895	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Lithobius validus	Lithobiidae	Arthropoda	Metazoa	SloveniaHSp	2750063	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Eupolybothrus grossipes	Lithobiidae	Arthropoda	Metazoa	SloveniaHSp	171369	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Dicellophilus carniolensis	Mecistocephalidae	Arthropoda	Metazoa	SloveniaHSp	173051	other_priority	sample_collected	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Lithobius stygius	Lithobiidae	Arthropoda	Metazoa	SloveniaHSp	2750798	other_priority	sample_collected	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Latrodectus tredecimguttatus	Theridiidae	Arthropoda	Metazoa	SloveniaHSp	6925	other_priority	sample_collected	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Coenonympha oedippus	Nymphalidae	Arthropoda	Metazoa	SloveniaHSp	554486	other_priority	sample_collected	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Leviellus thorelli	Aranaeidae	Arthropoda	Metazoa	SloveniaHSp	1662264	other_priority	sample_collected	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Amilenus aurantiacus	Phalangiidae	Arthropoda	Metazoa	SloveniaHSp	1046855	other_priority	sample_collected	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Lacinius dentiger	Phallangidae	Arthropoda	Metazoa	SloveniaHSp	1926191	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Cottus metae	Cottidae	Chordata	Metazoa	SloveniaHSp	2779018	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Erinaceus roumanicus	Erinaceidae	Chordata	Metazoa	SloveniaHSp	1052165	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Zygaena carniolica	Zygaenidae	Arthropoda	Metazoa	SloveniaHSp	287238	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Hypoderma diana	Oestridae	Arthropoda	Metazoa	SloveniaHSp	170899	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Melolontha hippocastani	Scarabaeidae	Arthropoda	Metazoa	SloveniaHSp	903833	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Octodrilus mimus	Lumbricidae	Annelida	Metazoa	SloveniaHSp	2506770	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Erebia calcaria	Nymphalidae	Arthropoda	Metazoa	SloveniaHSp	468173	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Niphargus stygius	Niphargidae	Arthropoda	Metazoa	SloveniaHSp	556215	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Cicada orni	Cicadidae	Arthropoda	Metazoa	SloveniaHSp	134416	other_priority		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Adelopsella bosnica	Leiodidae	Arthropoda	Metazoa	SloveniaHSp		other_priority	sample_acquired	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Leonhardella angulicollis	Leiodidae	Arthropoda	Metazoa	SloveniaHSp		other_priority	sample_acquired	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Bathyscidius tristiculus	Leiodidae	Arthropoda	Metazoa	SloveniaHSp		other_priority	sample_acquired	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
