echabs92	phylum	scientific_name	genus	comment	subspecies	synonym	alt_taxon_id
ECHabs92_Annex_IVa	Arthropoda	Armadillidium ghardalamensis	Armadillidium				
ECHabs92_Annex_IVa	Arthropoda	Arytrura musculus	Arytrura				
ECHabs92_Annex_IVa	Arthropoda	Baetica ustulata	Baetica				
ECHabs92_Annex_IVa	Arthropoda	Brachytrupes megacephalus	Brachytrupes				
ECHabs92_Annex_IVa	Arthropoda	Buprestis splendens	Buprestis				
ECHabs92_Annex_IVa	Arthropoda	Carabus zawadszkii	Carabus				
ECHabs92_Annex_IVa	Arthropoda	Catopta thrips	Catopta				
ECHabs92_Annex_IVa	Arthropoda	Chondrosoma fiduciarium	Chondrosoma				
ECHabs92_Annex_IVa	Arthropoda	Cucullia mixta	Cucullia				
ECHabs92_Annex_IVa	Arthropoda	Dioszeghyana schmidtii	Dioszeghyana				
ECHabs92_Annex_IVa	Arthropoda	Duvalius gebhardti	Duvalius				
ECHabs92_Annex_IVa	Arthropoda	Duvalius hungaricus	Duvalius				
ECHabs92_Annex_IVa	Arthropoda	Glyphipterix loricatella	Glyphipterix				
ECHabs92_Annex_IVa	Arthropoda	Isophya harzi	Isophya				
ECHabs92_Annex_IVa	Arthropoda	Myrmecophilus baronii	Myrmecophilus				
ECHabs92_Annex_IVa	Arthropoda	Pilemia tigrina	Pilemia				
ECHabs92_Annex_IVa	Arthropoda	Probaticus subrugosus	Probaticus				
ECHabs92_Annex_IVa	Arthropoda	Pseudogaurotina excellens	Pseudogaurotina				
ECHabs92_Annex_IVa	Arthropoda	Pseudoseriscius cameroni	Pseudoseriscius				
ECHabs92_Annex_IVa	Arthropoda	Scarabaeus quadridens	Scarabaeus	Listed as: Bolbelasmus unicornis		Bolbelasmus unicornis	
ECHabs92_Annex_IVa	Chordata	Lacerta monticola	Lacerta				
ECHabs92_Annex_IVa	Chordata	Phoxinus percnurus	Phoxinus				
ECHabs92_Annex_IVa	Chordata	Phyllodactylus europaeus	Phyllodactylus				
ECHabs92_Annex_IVa	Chordata	Vipera xanthina	Vipera				
ECHabs92_Annex_IVa	Mollusca	Caseolus calculus	Caseolus				
ECHabs92_Annex_IVa	Mollusca	Caseolus commixta	Caseolus				
ECHabs92_Annex_IVa	Mollusca	Caseolus sphaerula	Caseolus				
ECHabs92_Annex_IVa	Mollusca	Chilostoma banaticum	Chilostoma				
ECHabs92_Annex_IVa	Mollusca	Discula leacockiana	Discula				
ECHabs92_Annex_IVa	Mollusca	Discula turricula	Discula				
ECHabs92_Annex_IVa	Mollusca	Discus defloratus	Discus				
ECHabs92_Annex_IVa	Mollusca	Discus guerinianus	Discus				
ECHabs92_Annex_IVa	Mollusca	Geomitra moniziana	Geomitra				
ECHabs92_Annex_IVa	Mollusca	Lampedusa melitensis	Lampedusa				
ECHabs92_Annex_IVa	Mollusca	Leiostyla abbreviata	Leiostyla				
ECHabs92_Annex_IVa	Mollusca	Leiostyla cassida	Leiostyla				
ECHabs92_Annex_IVa	Mollusca	Leiostyla gibba	Leiostyla				
ECHabs92_Annex_IVa	Mollusca	Leiostyla lamellosa	Leiostyla				
ECHabs92_Annex_IVa	Mollusca	Paladilhia hungarica	Paladilhia				
